Grade;Cast;Variant;C_Min;C_Max;Si_Min;Si_Max;Mn_Min;Mn_Max;P_Min;P_Max;S_Min;S_Max;Cr_Min;Cr_Max;Ni_Min;Ni_Max;Mo_Min;Mo_Max;Di_Min;Di_Max;Dim_Max_mm;Temp_HT;Time_HT;Yield_strength;UTS_Min;Hardness_HB;Allowable_Bending_Mpa;Allowable_Contact_Mpa;Application_Class;Mechanical_Class
100Cr6;IC;803D_SA;0.98;1.05;0.2;0.35;0.3;0.4;0.0;0.025;0.017;0.023;1.4;1.6;0.0;0.25;0.0;0.08;;;190.0;820.0;10.0;410.0;700.0;210.0;280.0;425.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803D_C;0.98;1.05;0.2;0.35;0.3;0.4;0.0;0.025;0.017;0.023;1.4;1.6;0.0;0.25;0.0;0.08;;;190.0;20.0;;740.0;930.0;290.0;372.0;625.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803D_QTm;0.98;1.05;0.2;0.35;0.3;0.4;0.0;0.025;0.017;0.023;1.4;1.6;0.0;0.25;0.0;0.08;;;;850.0;1.0;1700.0;2300.0;654.0;920.0;1535.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803D_QTb;0.98;1.05;0.2;0.35;0.3;0.4;0.0;0.025;0.017;0.023;1.4;1.6;0.0;0.25;0.0;0.08;;;;860.0;5.0;2000.0;2000.0;615.0;800.0;1437.5;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803F_SA;0.95;1.0;0.2;0.35;0.3;0.4;0.0;0.02;0.005;0.015;1.4;1.6;0.0;0.2;0.0;0.08;;;190.0;820.0;10.0;410.0;700.0;210.0;280.0;425.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803F_C;0.95;1.0;0.2;0.35;0.3;0.4;0.0;0.02;0.005;0.015;1.4;1.6;0.0;0.2;0.0;0.08;;;190.0;20.0;;740.0;930.0;290.0;372.0;625.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803F_QTm;0.95;1.0;0.2;0.35;0.3;0.4;0.0;0.02;0.005;0.015;1.4;1.6;0.0;0.2;0.0;0.08;;;;850.0;1.0;1700.0;2300.0;654.0;920.0;1535.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803F_QTb;0.95;1.0;0.2;0.35;0.3;0.4;0.0;0.02;0.005;0.015;1.4;1.6;0.0;0.2;0.0;0.08;;;;860.0;5.0;2000.0;2200.0;615.0;880.0;1437.5;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803J_SA;0.95;1.0;0.2;0.35;0.2;0.4;0.0;0.025;0.0;0.015;1.35;1.6;0.0;0.25;0.0;0.08;;;190.0;820.0;10.0;410.0;700.0;210.0;280.0;425.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803J_C;0.95;1.0;0.2;0.35;0.2;0.4;0.0;0.025;0.0;0.015;1.35;1.6;0.0;0.25;0.0;0.08;;;190.0;20.0;;740.0;930.0;290.0;372.0;625.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803J_QTm;0.95;1.0;0.2;0.35;0.2;0.4;0.0;0.025;0.0;0.015;1.35;1.6;0.0;0.25;0.0;0.08;;;;850.0;1.0;1700.0;2300.0;654.0;920.0;1535.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803J_QTb;0.95;1.0;0.2;0.35;0.2;0.4;0.0;0.025;0.0;0.015;1.35;1.6;0.0;0.25;0.0;0.08;;;;860.0;5.0;2000.0;2200.0;615.0;880.0;1437.5;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803N_SA;0.98;1.05;0.2;0.35;0.25;0.4;0.0;0.025;0.005;0.015;1.35;1.6;0.0;0.25;0.0;0.08;;;190.0;820.0;10.0;410.0;700.0;210.0;280.0;425.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803N_C;0.98;1.05;0.2;0.35;0.25;0.4;0.0;0.025;0.005;0.015;1.35;1.6;0.0;0.25;0.0;0.08;;;190.0;20.0;;740.0;930.0;290.0;372.0;625.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803N_QTm;0.98;1.05;0.2;0.35;0.25;0.4;0.0;0.025;0.005;0.015;1.35;1.6;0.0;0.25;0.0;0.08;;;;850.0;1.0;1700.0;2300.0;654.0;920.0;1535.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803N_QTb;0.98;1.05;0.2;0.35;0.25;0.4;0.0;0.025;0.005;0.015;1.35;1.6;0.0;0.25;0.0;0.08;;;;860.0;5.0;2000.0;2200.0;615.0;880.0;1437.5;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803P_SA;0.98;1.05;0.2;0.35;0.25;0.4;0.0;0.02;0.003;0.008;1.35;1.6;0.0;0.2;0.0;0.06;;;190.0;820.0;10.0;410.0;700.0;210.0;280.0;425.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803P_C;0.98;1.05;0.2;0.35;0.25;0.4;0.0;0.02;0.003;0.008;1.35;1.6;0.0;0.2;0.0;0.06;;;190.0;20.0;;740.0;930.0;290.0;372.0;625.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803P_QTm;0.98;1.05;0.2;0.35;0.25;0.4;0.0;0.02;0.003;0.008;1.35;1.6;0.0;0.2;0.0;0.06;;;;850.0;1.0;1700.0;2300.0;654.0;920.0;1535.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803P_QTb;0.98;1.05;0.2;0.35;0.25;0.4;0.0;0.02;0.003;0.008;1.35;1.6;0.0;0.2;0.0;0.06;;;;860.0;5.0;2000.0;2200.0;615.0;880.0;1437.5;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803Q_SA;0.93;1.0;0.2;0.4;0.25;0.4;0.0;0.015;0.0;0.001;1.4;1.6;0.0;0.25;0.0;0.06;;;190.0;820.0;10.0;410.0;700.0;210.0;280.0;425.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803Q_C;0.93;1.0;0.2;0.4;0.25;0.4;0.0;0.015;0.0;0.001;1.4;1.6;0.0;0.25;0.0;0.06;;;120.0;20.0;;740.0;930.0;290.0;372.0;625.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803Q_QTm;0.93;1.0;0.2;0.4;0.25;0.4;0.0;0.015;0.0;0.001;1.4;1.6;0.0;0.25;0.0;0.06;;;;850.0;1.0;1700.0;2300.0;654.0;920.0;1535.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803Q_QTb;0.93;1.0;0.2;0.4;0.25;0.4;0.0;0.015;0.0;0.001;1.4;1.6;0.0;0.25;0.0;0.06;;;;860.0;5.0;2000.0;2200.0;615.0;880.0;1437.5;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803Z_SA;0.94;1.0;0.0;0.15;0.25;0.4;0.0;0.025;0.003;0.015;1.4;1.5;0.0;0.25;0.0;0.08;;;190.0;820.0;10.0;410.0;700.0;210.0;280.0;425.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803Z_C;0.94;1.0;0.0;0.15;0.25;0.4;0.0;0.025;0.003;0.015;1.4;1.5;0.0;0.25;0.0;0.08;;;190.0;20.0;;740.0;930.0;290.0;372.0;625.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803Z_QTm;0.94;1.0;0.0;0.15;0.25;0.4;0.0;0.025;0.003;0.015;1.4;1.5;0.0;0.25;0.0;0.08;;;;850.0;1.0;1700.0;2300.0;654.0;920.0;1535.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803Z_QTb;0.94;1.0;0.0;0.15;0.25;0.4;0.0;0.025;0.003;0.015;1.4;1.5;0.0;0.25;0.0;0.08;;;;860.0;5.0;2000.0;2200.0;615.0;880.0;1437.5;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803A_SA;0.93;0.98;0.15;0.35;0.25;0.45;0.0;0.025;0.003;0.008;1.35;1.6;0.0;0.25;0.0;0.1;;;190.0;820.0;10.0;410.0;700.0;210.0;280.0;425.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803A_C;0.93;0.98;0.15;0.35;0.25;0.45;0.0;0.025;0.003;0.008;1.35;1.6;0.0;0.25;0.0;0.1;;;190.0;20.0;;740.0;930.0;290.0;372.0;625.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803A_QTm;0.93;0.98;0.15;0.35;0.25;0.45;0.0;0.025;0.003;0.008;1.35;1.6;0.0;0.25;0.0;0.1;;;;850.0;1.0;1700.0;2300.0;654.0;920.0;1535.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;IC;803A_QTb;0.93;0.98;0.15;0.35;0.25;0.45;0.0;0.025;0.003;0.008;1.35;1.6;0.0;0.25;0.0;0.1;;;;860.0;5.0;2000.0;2200.0;615.0;880.0;1437.5;High-Carbon/Bearing;Consistent-Pair
100Cr6;CC;802F_AR;0.93;0.98;0.15;0.35;0.25;0.45;0.0;0.025;0.003;0.008;1.35;1.6;0.0;0.25;0.0;0.1;;;160.0;;10.0;714.0;1173.0;340.0;750.0;750.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;CC;802F_AC;0.93;0.98;0.15;0.35;0.25;0.45;0.0;0.025;0.003;0.008;1.35;1.6;0.0;0.25;0.0;0.1;;;150.0;;;462.0;759.0;220.0;450.0;450.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;CC;802F_SA;0.93;0.98;0.15;0.35;0.25;0.45;0.0;0.025;0.003;0.008;1.35;1.6;0.0;0.25;0.0;0.1;;;190.0;820.0;1.0;410.0;700.0;210.0;280.0;425.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;CC;802F_C;0.93;0.98;0.15;0.35;0.25;0.45;0.0;0.025;0.003;0.008;1.35;1.6;0.0;0.25;0.0;0.1;;;190.0;20.0;5.0;740.0;930.0;290.0;372.0;625.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;CC;802F_QTm;0.93;0.98;0.15;0.35;0.25;0.45;0.0;0.025;0.003;0.008;1.35;1.6;0.0;0.25;0.0;0.1;;;;850.0;;1700.0;2300.0;654.0;920.0;1535.0;High-Carbon/Bearing;Consistent-Pair
100Cr6;CC;802F_QTb;0.93;0.98;0.15;0.35;0.25;0.45;0.0;0.025;0.003;0.008;1.35;1.6;0.0;0.25;0.0;0.1;;;;860.0;10.0;2000.0;2200.0;615.0;880.0;1437.5;High-Carbon/Bearing;Consistent-Pair
100CrMnMoSi8-4-6;IC;827B_QTm;0.93;0.98;0.4;0.6;0.9;1.1;0.0;0.025;0.003;0.008;1.85;2.05;0.0;0.25;0.5;0.6;;;75.0;;;1700.0;2300.0;654.0;920.0;1535.0;High-Carbon/Bearing;Consistent-Pair
100CrMnMoSi8-4-6;IC;827B_QTb;0.93;0.98;0.4;0.6;0.9;1.1;0.0;0.025;0.003;0.008;1.85;2.05;0.0;0.25;0.5;0.6;;;75.0;;;2000.0;2200.0;615.0;880.0;1437.5;High-Carbon/Bearing;Consistent-Pair
100CrMnSi4-4;IC;831B_SA;0.92;1.02;0.5;0.7;1.05;1.2;0.0;0.015;0.005;0.015;1.0;1.15;0.1;0.25;0.06;0.1;;;190.0;;;480.0;720.0;210.0;288.0;425.0;High-Carbon/Bearing;Consistent-Pair
100CrMo7;IC;824B_SA;0.93;1.02;0.25;0.35;0.25;0.4;0.0;0.025;0.003;0.015;1.65;1.95;0.0;0.25;0.15;0.25;;;190.0;;;420.0;700.0;200.0;280.0;400.0;High-Carbon/Bearing;Consistent-Pair
100CrMo7;IC;824B_QTm;0.93;1.02;0.25;0.35;0.25;0.4;0.0;0.025;0.003;0.015;1.65;1.95;0.0;0.25;0.15;0.25;;;20.0;;;1700.0;2300.0;654.0;920.0;1535.0;High-Carbon/Bearing;Consistent-Pair
100CrMo7;IC;824B_QTb;0.93;1.02;0.25;0.35;0.25;0.4;0.0;0.025;0.003;0.015;1.65;1.95;0.0;0.25;0.15;0.25;;;20.0;;;2000.0;2200.0;615.0;880.0;1437.5;High-Carbon/Bearing;Consistent-Pair
100CrMo7-3;IC;825B_SA;0.93;1.05;0.2;0.4;0.6;0.8;0.0;0.025;0.003;0.015;1.65;1.95;0.0;0.25;0.2;0.35;;;190.0;;;460.0;700.0;180.0;280.0;350.0;High-Carbon/Bearing;Consistent-Pair
100CrMo7-3;IC;825B_QTm;0.93;1.05;0.2;0.4;0.6;0.8;0.0;0.025;0.003;0.015;1.65;1.95;0.0;0.25;0.2;0.35;;;30.0;;;1700.0;2300.0;654.0;920.0;1535.0;High-Carbon/Bearing;Consistent-Pair
100CrMo7-3;IC;825B_QTb;0.93;1.05;0.2;0.4;0.6;0.8;0.0;0.025;0.003;0.015;1.65;1.95;0.0;0.25;0.2;0.35;;;30.0;;;2000.0;2200.0;615.0;880.0;1437.5;High-Carbon/Bearing;Consistent-Pair
100CrMo7-3;IC;825T_SA;0.93;0.98;0.2;0.35;0.73;0.8;0.0;0.025;0.003;0.006;1.74;1.85;0.0;0.25;0.25;0.35;;;190.0;;;460.0;700.0;180.0;280.0;350.0;High-Carbon/Bearing;Consistent-Pair
100CrMo7-3;IC;825T_QTm;0.93;0.98;0.2;0.35;0.73;0.8;0.0;0.025;0.003;0.006;1.74;1.85;0.0;0.25;0.25;0.35;;;30.0;;;1700.0;2300.0;654.0;920.0;1535.0;High-Carbon/Bearing;Consistent-Pair
100CrMo7-3;IC;825T_QTb;0.93;0.98;0.2;0.35;0.73;0.8;0.0;0.025;0.003;0.006;1.74;1.85;0.0;0.25;0.25;0.35;;;30.0;;;2000.0;2200.0;615.0;880.0;1437.5;High-Carbon/Bearing;Consistent-Pair
