Grade;Cast;Variant;C_Min;C_Max;Si_Min;Si_Max;Mn_Min;Mn_Max;P_Min;P_Max;S_Min;S_Max;Cr_Min;Cr_Max;Ni_Min;Ni_Max;Mo_Min;Mo_Max;Di_Min;Di_Max;Dim_Max_mm;Temp_HT;Time_HT;Yield_strength;UTS_Min;Hardness_HB;Allowable_Bending_Mpa;Allowable_Contact_Mpa;Application_Class;Mechanical_Class
11SMn30;CC;2715_C;0.05;0.14;0.05;0.4;1.0;1.4;0.0;0.05;0.27;0.33;;;;;;;;0.57;40.0;;;375.0;460.0;160.0;184.0;300.0;Carburizing/Case-Hardening;Anomalous-Pair
11SMn30;CC;2715_C;0.05;0.14;0.05;0.4;1.0;1.4;0.0;0.05;0.27;0.33;;;;;;;;0.57;55.0;;;305.0;400.0;150.0;160.0;275.0;Carburizing/Case-Hardening;Anomalous-Pair
16CrMnNiMo9-5-2;IC;277Q_QT;0.14;0.17;0.15;0.3;1.2;1.4;0.0;0.02;0.0;0.002;2.1;2.3;0.45;0.55;0.45;0.55;;;25.0;;;700.0;750.0;260.0;300.0;550.0;Carburizing/Case-Hardening;Anomalous-Pair
16CrMnNiMo9-5-2;IC;277Q_QT;0.14;0.17;0.15;0.3;1.2;1.4;0.0;0.02;0.0;0.002;2.1;2.3;0.45;0.55;0.45;0.55;;;75.0;;;700.0;750.0;260.0;300.0;550.0;Carburizing/Case-Hardening;Anomalous-Pair
18CrNiMo7-6;IC;159A_QT;0.15;0.19;0.1;0.3;0.5;0.95;0.0;0.015;0.0;0.005;1.6;1.8;1.5;1.7;0.25;0.35;;;63.0;;;690.0;980.0;246.4285714;508.0;516.0714286;Carburizing/Case-Hardening;Anomalous-Pair
18CrNiMo7-6;IC;159B_QT;0.15;0.18;0.2;0.35;0.5;0.6;0.0;0.015;0.08;0.015;1.5;1.8;1.5;1.7;0.25;0.35;;;63.0;;;690.0;980.0;246.4285714;508.0;516.0714286;Carburizing/Case-Hardening;Anomalous-Pair
18CrNiMo7-6;IC;159Q_QT;0.16;0.19;0.2;0.35;0.5;0.6;0.0;0.015;0.0;0.002;1.6;1.8;1.5;1.7;0.25;0.35;;;63.0;;;690.0;980.0;246.4285714;508.0;516.0714286;Carburizing/Case-Hardening;Anomalous-Pair
18CrNiMo7-6;IC;159S_QT;0.15;0.19;0.25;0.4;0.4;0.6;0.0;0.02;0.015;0.02;1.5;1.8;1.4;1.7;0.25;0.35;;;63.0;;;690.0;980.0;246.4285714;508.0;516.0714286;Carburizing/Case-Hardening;Anomalous-Pair
18CrNiMo7-6;IC;159X_QT;0.16;0.19;0.25;0.35;0.5;0.6;0.0;0.015;0.008;0.013;1.6;1.8;1.5;1.7;0.25;0.35;;;63.0;;;690.0;980.0;246.4285714;508.0;516.0714286;Carburizing/Case-Hardening;Anomalous-Pair
19Mnv6;IC;280T_N;0.17;0.2;0.3;0.45;1.45;1.6;0.0;0.025;0.02;0.035;0.2;0.28;0.0;0.2;0.0;0.1;1.6;1.9;190.0;;;410.0;550.0;200.0;220.0;400.0;Carburizing/Case-Hardening;Anomalous-Pair
19Mnv6;IC;280T_N;0.17;0.2;0.3;0.45;1.45;1.6;0.0;0.025;0.02;0.035;0.2;0.28;0.0;0.2;0.0;0.1;1.6;1.9;190.0;;;410.0;550.0;200.0;220.0;400.0;Carburizing/Case-Hardening;Anomalous-Pair
19Mnv6;IC;280T_QT;0.17;0.2;0.3;0.45;1.45;1.6;0.0;0.025;0.02;0.035;0.2;0.28;0.0;0.2;0.0;0.1;1.6;1.9;30.0;;;600.0;700.0;260.0;280.0;550.0;Carburizing/Case-Hardening;Anomalous-Pair
19Mnv6;IC;280T_AR;0.17;0.2;0.3;0.45;1.45;1.6;0.0;0.025;0.02;0.035;0.2;0.28;0.0;0.2;0.0;0.1;1.6;1.9;25.0;;;470.0;640.0;220.0;256.0;450.0;Carburizing/Case-Hardening;Anomalous-Pair
